condition,therapeuticarea,summary,purpose,gender,age,status,cwid,modified,sponsor,phase
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Babies with siblings are needed for a Washington University autism study.,The purpose of this research study is to learn more about brain development in infants who are at high risk for developing autism. This study will take 3 years to complete. There are four visits with each visit lasting an average of three days for a couple of hours each day. Participation includes MRI scans and developmental testing. Benefits and risks will be discussed with volunteers as part of the informed consent process. Participants will receive $125.00 for each visit and if the visit includes a longer interview they will receive an additional $30.00.,"",Both Male and Female,N/A,189497,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Healthy Eating and Active Living Taught at Home (HEALTH).,"Washington University is seeking volunteers for a research study to look at two Parents as Teachers (PAT) curriculums, the standard curriculum or the standard plus additional information on how families can live healthy and active lives while reaching a healthier weight. This study lasts 2 years. There will be 3 outpatient visits at Washington University and 20 – 36 home visits. Volunteer feedback regarding the PAT curriculum may lead to changes in future curriculum. Up to $150 is provided for time and effort (gift cards). Risks will be discussed as part of the informed consent process.","",Female,18 to 45 Years,181441,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"A Research Study for Healthy Adolescents. Looking at Brain Structure, Function and Chemistry.","This is a research study that uses magnetic resonance imaging (MRI) to compare the brain structure, function and chemistry of typical adolescents tot hose with depression and/or anxiety.","",Both Male and Female,12 to 17 Years,216964,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,A Research Study for Healthy Adolescents,"This is a research study that uses magnetic resonance imaging (MRI) to compare the brain structure, function and chemistry of typical adolescents to those with Attention Deficit Hyperactivity Disorder (ADHD).","",Both Male and Female,13 to 17 Years,216054,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Meningitis Vaccine,Are you generally healthy and have never received a meningitis vaccine? You may qualify for a clinical study involving 2 visits and 2 phone calls over 6 months.,Both Male and Female,10 and up,Recruiting,216265,"",,3
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Pediatric Constipation,Currently enrolling participants for a Pediatric Constipation study,Both Male and Female,6 to 17 Years,Recruiting,212343,"",,2
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"An Open-label, Single Arm, Multicenter Study on the Efficacy, Safety, and Pharmacokinetics of Leuprolide Acetate 45 mg for Injectable Suspension Controlled Release in Subjects With Central (Gonadotropin-Dependent) Precocious Puberty","Leuprolide acetate is a GnRH agonist that inhibits pituitary gonadotropin secretion by binding to the GnRH receptors and blocking downstream hormone synthesis. The steady decrease in hormone synthesis (LH and FSH) leads to a suppression of testicular and ovarian steroidogenesis. In children with CPP, this steady decrease in hormone synthesis disrupts the progression of puberty.",Both Male and Female,2 to 9 Years,Recruiting,210283,"",Tolmar Inc.,3
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Efficacy and Safety of Lubiprostone in Pediatric Subjects Aged ≥ 6 Years to < 18 Years With Functional Constipation,"To assess the efficacy, safety, and pharmacokinetics (PK) of oral lubiprostone 12 or 24 mcg capsules dosed twice daily (BID) (based on subject body weight at baseline) as compared to matching placebo BID, when administered orally for 12 weeks in pediatric subjects with functional constipation.",Both Male and Female,6 to 17 Years,Recruiting,193436,"",,3
Healthy Patient Studies,Healthy Volunteers,H5N1 (Avian Flu) Prevention Vaccine,Phase 3 Study for H5N1 Avian Flu Prevention Vaccine,Both Male and Female,18 to 90 Years,Recruiting,215189,"",,3
Healthy Patient Studies,Healthy Volunteers,Make time. Advance science. Donate!,Medical Affiliated Research Center (MARC) is participating in a study which collects biospecimens such as blood or urine.,"",Both Male and Female,19 to 65 Years,192350,"",,
Healthy Patient Studies,Healthy Volunteers,Make time. Advance science. Donate!,Medical Affiliated Research Center (MARC) is participating in a study which collects biospecimens such as blood or urine.,"",Both Male and Female,N/A,181161,"",,
Healthy Patient Studies,Healthy Volunteers,Understanding how Ketamine brings about rapid improvement in OCD symptoms,The Rodriguez Lab is seeking healthy volunteers to participate in clinical research studies evolving the understanding of the brain. We are exploring the function of healthy brain and your participation will help us discover therapies for OCD and Hoarding Disorder.,Both Male and Female,18 to 55 Years,Recruiting,216772,"",NIH,2
Healthy Patient Studies,Healthy Volunteers,Do You Have Bags Under Your Eyes?,WCCT Global is seeking healthy men & women ages 40 to 70 with bags under their eyes to participate in a study with an investigational eyelid ointment.,"",Both Male and Female,40 to 70 Years,200531,"",,
Healthy Patient Studies,Healthy Volunteers,Do You Have Presbyopia?,WCCT Global is seeking healthy males and females ages 40 to 55 that have presbyopia to participate in a clinical research study with an investigational medicine.,"",Both Male and Female,40 to 55 Years,200530,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Volunteer Study,Are You Healthy?,Both Male and Female,18 to 49 Years,Recruiting,183001,"",,1
Healthy Patient Studies,Healthy Volunteers,"An inpatient study looking at the safety, pharmcokinetics, and pharmacodynamics of an investigational drug administered to healthy Japanese and non-Japanese female subjects.",Inclusion Criteria,"",Female,20 to 45 Years,112856,"",,
Healthy Patient Studies,Healthy Volunteers,Clinical Trial for Healthy Volunteers,Join the search for better medicines for those who really need them.,Both Male and Female,18 to 55 Years,Recruiting,210235,"",,1
Healthy Patient Studies,Healthy Volunteers,"Healthy Volunteers (Ages 60-80) - Glendale, CA",Glendale PAREXEL Early Phase is conducting a research study for Healthy Elderlies.,Both Male and Female,60 to 80 Years,Recruiting,216767,"",,1
Healthy Patient Studies,Healthy Volunteers,"Healthy Volunteers (Ages 60-80) - Glendale, CA",Glendale PAREXEL Early Phase is conducting a research study for Healthy Elderlies.,Both Male and Female,60 to 80 Years,Recruiting,213374,"",,1
Healthy Patient Studies,Healthy Volunteers,"Healthy Volunteers (Ages 65-85) - Glendale, CA",Glendale PAREXEL Early Phase is conducting a research study for individuals with Alzheimer's Disease or Mild Cognitive Impairment (MCI).,Both Male and Female,65 to 85 Years,Recruiting,212542,"",,1
Healthy Patient Studies,Healthy Volunteers,Research Study for Healthy Male and Female Volunteers,"The PAREXEL Early Phase Unit, located at Glendale Adventist Medical Center in Glendale, CA is currently seeking volunteers to participate in a clinical research trial to evaluate an investigational medication.",Both Male and Female,18 to 45 Years,Recruiting,215262,"",,3
Healthy Patient Studies,Healthy Volunteers,Birth Control,Birth Control Study for women ages 18-35 who are interested in preventing pregnancy.,Female,18 to 35 Years,Recruiting,215196,"",,3
Healthy Patient Studies,Healthy Volunteers,H5N1 (Avian Flu) Prevention Vaccine,Phase 3 Study for H5N1 Avian Flu Prevention Vaccine,Both Male and Female,18 to 90 Years,Recruiting,215193,"",,3
Healthy Patient Studies,Healthy Volunteers,Meningitis Prevention Vaccine.,Study for Meningitis prevention vaccine.,"",Both Male and Female,15 and up,215195,"",,
Healthy Patient Studies,Healthy Volunteers,Looking for Healthy Women Who Are Post Menopausal,Diablo Clinical Research is conducting a clinical research study to evaluate an investigational medication in postmenopausal women to see its effect on cholesterol.,Female,N/A,Recruiting,166606,"",,1
Healthy Patient Studies,Healthy Volunteers,Acne Treatment Research Study,The purpose of this study is to compare the safety and efficacy of an investigational medication versus placebo (an inactive substance) in the treatment of moderate to severe facial acne.,Both Male and Female,9 to 45 Years,Recruiting,205529,"",,3
Healthy Patient Studies,Healthy Volunteers,"B1521061; ""A PHASE 1, SINGLE DOSE, OPEN-LABEL, RANDOMIZED, CROSSOVER BIOEQUIVALENCE STUDY OF METFORMIN IN ERTUGLIFLOZIN 7.5 MG/METFORMIN 850 MG FIXED DOSE COMBINATION TABLET VS CANADIAN-SOURCED GLUCOPHAGE® CO-ADMINISTERED WITH ERTUGLIFLOZIN IN HEALTHY SUBJECTS IN THE FASTED AND FED STATES""",The Pfizer New Haven Clinical Research Unit is conducting a study of a new investigational drug to treat Type 2 Diabetes. The purpose of the study is to measure and compare the levels of metformin (an approved drug for Type 2 Diabetes) in the blood when given to healthy subjects combined with study drug under both fed and fasted conditions.,Both Male and Female,18 to 55 Years,Recruiting,216777,"",,1
Healthy Patient Studies,Healthy Volunteers,Healthy volunteers needed for Clinical Research,"We are currently looking for healthy volunteers who meet the following criteria to participate in clincial research studies in New Haven, CT",Both Male and Female,18 to 50 Years,Recruiting,210573,"",Institute for Neurodegenerative Disorders,1
Healthy Patient Studies,Healthy Volunteers,Investigational Tobacco Product,A clinical research study is evaluating an investigational tobacco product in people who meet the following criteria:,"",Both Male and Female,30 and up,206208,"",,
Healthy Patient Studies,Healthy Volunteers,Birth Control,Birth Control Study for women ages 18-35 who are interested in preventing pregnancy.,Female,18 to 35 Years,Recruiting,215197,"",,3
Healthy Patient Studies,Healthy Volunteers,H5N1 (Avian Flu) Prevention Vaccine,Phase 3 Study for H5N1 Avian Flu Prevention Vaccine,Both Male and Female,18 to 90 Years,Recruiting,215191,"",,3
Healthy Patient Studies,Healthy Volunteers,Vaccine Study for Healthy Adults,"The primary objective is to establish the maximum safe and tolerated dose of an Ebola vaccine, given by intramuscular (IM) injection. Study participation will last approximately 6 months.",Both Male and Female,18 to 60 Years,Recruiting,212752,"",,1
Healthy Patient Studies,Healthy Volunteers,Study of the AG200-15 Transdermal Contraceptive Delivery System (TCDS),"A Single-arm, Open-label, Multicenter Phase 3 Study of the Contraceptive Efficacy, Safety and Tolerability of the AG200-15 Transdermal Contraceptive Delivery System (TCDS)",Female,N/A,Recruiting,209297,"",Agile Therapeutics,3
Healthy Patient Studies,Healthy Volunteers,Healthy Research Study,We are enrolling healthy participants for a research study to assess the safety and effectiveness of an investigational medication. Qualified individuals will earn compensation for participating. Contact us now to learn more! Health insurance is not needed to participate.,Both Male and Female,18 to 55 Years,Recruiting,204491,"",Compass Research,1
Healthy Patient Studies,Healthy Volunteers,"A Prospective, Single Arm, Longitudinal Cohort Study To Assess Biomarkers In Real World Patients With Severe Asthma","To compare the rate of asthma exacerbations between patients with low baseline periostin levels (< 50 ng/mL) and patients with high baseline periostin levels (≥ 50 ng/mL), as measured by central laboratory testing, in order to evaluate periostin as a prognostic biomarker that can identify at-risk asthmatics",Both Male and Female,18 and up,Recruiting,213387,"",Genentech,4
Healthy Patient Studies,Healthy Volunteers,"A Single-arm, Open-label, Multicenter Phase 3 Study of the Contraceptive Efficacy, Safety and Tolerability of the AG200-15 Transdermal Contraceptive Delivery System (TCDS)",Study of the efficacy of a contraceptive patch in 2100 healthy women for up to one year.,Female,N/A,Recruiting,205344,"",Agile Therapeutics,3
Healthy Patient Studies,Healthy Volunteers,Natural History Study of the Development of Type 1 Diabetes,"The accrual of data from the laboratory and from epidemiologic and prevention trials has improved the understanding of the etiology and pathogenesis of type 1 diabetes mellitus (T1DM). Genetic and immunologic factors play a key role in the development of T1DM, and characterization of the early metabolic abnormalities in T1DM is steadily increasing. However, information regarding the natural history of T1DM remains incomplete. The TrialNet Natural History Study of the Development of T1DM has been designed to clarify this picture, and in so doing, will contribute to the development and implementation of studies aimed at prevention of and early treatment in T1DM.","",Both Male and Female,1 to 45 Years,204887,"",Recruiting,
Healthy Patient Studies,Healthy Volunteers,Rapid Elimination Procedure of Teriflunomide With Colestipol Hydrochlorid,Primary Objective To determine if colestipol hydrochloride tablets can accelerate the elimination of teriflunomide. Teriflunomide will be administered for 14 days followed by colestipol dosing of 11 days. Total duration of the study is 40 days.,Both Male and Female,18 to 45 Years,Recruiting,205385,"",Derrick Scott Robertson,1
Healthy Patient Studies,Healthy Volunteers,"A randomized, double-blind, parallel-group, multicenter study to demonstrate similar efficacy and to compare safety and immunogenicity of GP2017 and Humira® in patients with moderate to severe active rheumatoid arthritis",To demonstrate similar efficacy of GP2017 and US-licensed Humira® in patients with moderate to severe active RA.,"",Both Male and Female,18 and up,216268,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Patient Study,Healthy Volunteers Needed for Inpatient Research Study. Taking an oral medication once daily while in-patient for 8 - 10 days. 5 Follow-Up clinic visits.,"",Both Male and Female,18 to 65 Years,212376,"",,
Healthy Patient Studies,Healthy Volunteers,"Pharmacokinetics of Orally Administered Dasotraline in Subjects with Mild, Moderate, and Severe Hepatic Dysfunction","To evaluate the pharmacokinetics (PK) of a single dose of dasotraline in subjects with impaired hepatic function compared to gender-, age-, and weight-matched healthy control subjects.","",Both Male and Female,18 to 70 Years,214261,"",,
Healthy Patient Studies,Healthy Volunteers,"A Double Blind, Randomized, Placebo Controlled, Parallel Group Study to Simultaneously Qualify a Biomarket Algorithm for Prognosis of Risk of Developing Mild Cognitive Impairment Due to Alzheimer's Disease (MCI)",The TOMORROW study seeks to learn more about the genetic risk for developing mild cognitive impairment due to Alzheimer's disease (MCI due to AD) and whether an investigational medication might prove effective in delaying the early symptoms of this condition. The research study is currently recruiting healthy senior participants.,Both Male and Female,65 to 83 Years,Recruiting,203355,"",,3
Healthy Patient Studies,Healthy Volunteers,TOMMORROW Study,The TOMMORROW study seeks to learn more about the genetic risk for developing mild cognitive impairment due to Alzheimer’s disease (MCI due to AD) and whether an investigational medication might prove effective in delaying the early symptoms of this condition. The research study is currently recruiting healthy senior participants. Find out more about being part of this important research effort,"",Both Male and Female,N/A,205762,"",,
Healthy Patient Studies,Healthy Volunteers,H5N1 (Avian Flu) Prevention Vaccine,Phase 3 Study for H5N1 Avian Flu Prevention Vaccine,Both Male and Female,18 to 90 Years,Recruiting,215192,"",,3
Healthy Patient Studies,Healthy Volunteers,Are you a female over the age of 18?,"Researchers in the University of Kentucky department of Otolaryngology are looking for participants for a research study evaluating the effects of hormones on hearing. The study involves premenopausal, menopausal, and postmenopausal women and will include a test of auditory function.","",Female,18 and up,213729,"",,
Healthy Patient Studies,Healthy Volunteers,Exercise Training Study,Are you over the age of 65 and feel like you are having problems with:,"",Both Male and Female,65 and up,213686,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Participants Between 18-60 Years Needed for Research Study,Researchers at the University of Kentucky are looking for healthy study participants between 18 and 60 years of age in order to study the impace of diet on lipid and inflammatory biomarkers in human plasma.,"",Both Male and Female,18 to 60 Years,210226,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Participants Needed for Research Study,We are looking for healthy participants for an outpatient research study.,"",Both Male and Female,18 to 50 Years,207936,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Patient Studies: Functional Movement Differences Between Female Runners and Non-runners,"Researchers at the University of Kentucky, College of Health Sciences are conducting a research study to aid in developing better injury prevention programs.","",Female,18 to 45 Years,179664,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Volunteers Needed for Research Study,"Researchers at the University of Kentucky Department of Internal Medicine are conducting a clinical research study to examine the impact of hot and humid air upon lung function of healthy volunteers. Your participation will require up to three separate days to complete the study, and you will be compensated for your time.","",Both Male and Female,18 to 65 Years,178879,"",,
Healthy Patient Studies,Healthy Volunteers,Healthy Volunteers: Study on the Effects of Alcohol,Researchers are recruiting social drinkers with and without ADHD for studies concerning the effects of alcohol. Looking for male and female participants between 21 - 35 years of age.,"",Both Male and Female,21 to 35 Years,165049,"",,
Healthy Patient Studies,Healthy Volunteers,Help Us Learn About the Relationship Between Attention and Hearing,"Researchers at the University of Kentucky Department of Otolaryngology and Department of Psychiatry are conducting a study to assess the relationship between hearing and attention. The study will evaluate volunteers both with and without a diagnosis of ADHD. Your participation will require up to 2 searate visits lasting approximately 1 to 1.5 hours per visit. Additionally, a small sample of 10 subjects will be asked to complete a third visit that will last approximately 1 hour.","",Both Male and Female,18 to 50 Years,213464,"",,
Healthy Patient Studies,Healthy Volunteers,How Does Vitamin D and Exercise Affect Your Muscle Health?,Researchers at the University of Kentucky are investigating how vitamin D and exercise affects your muscle health.,"",Both Male and Female,65 to 80 Years,200574,"",,
Healthy Patient Studies,Healthy Volunteers,Mental Health: Healthy Volunteers Needed for Behavioral Studies,"Researchers with the University of Kentucky College of Medicine, Department of Behavioral Science are recruiting healthy volunteers ages 18-50 to participate in ongoing multiple research studies that evaluate the behavioral effects of prescribed FDA approved medications.","",Both Male and Female,18 to 50 Years,117468,"",,
Healthy Patient Studies,Healthy Volunteers,Study on the Effects of Alcohol,Researchers are recruiting social drinkers with and without ADHD for studies concerning the effects of alcohol. Looking for male and femal participants between 21-35 years of age. All participants are compensated for their time. Please call 257-5794.,"",Both Male and Female,21 to 35 Years,163523,"",,
Healthy Patient Studies,Healthy Volunteers,Study on the Effects of Alcohol,Researchers are recruiting social drinkers with and without ADHD for studies concerning the effects of alcohol. Looking for male and female participants between 21 - 35 years of age.,"",Both Male and Female,21 to 35 Years,177247,"",,
Healthy Patient Studies,Healthy Volunteers,Tennis Players Needed for Research Study,"Researchers at the University of Kentucky College of Health Sciences are conducting a study to evaluate the accuracy and consistency of a tool used to grade a player’s serve. We will videotape you performing a series of tennis serves. We will also evaluate several trunk performances measures. We are recruiting individuals that are recreational, high school, and college tennis players.","",Both Male and Female,14 to 65 Years,206181,"",,
Healthy Patient Studies,Healthy Volunteers,"Using a Small Wearable Device to Track Orientation and Activity in Pregnant Patients, A Feasibility Study",Proposed here is the use of a new non-invasive wearable device called the BellyBit™ Preterm Prevention System to avoid extended periods of venous compression. The BellyBit discourages patients from spending long periods of time (day and night) in orientations that are known to restrict blood flow in the ICV (eg supine or very reclined). The device captures sensor data as well as patient reactions to the alerts which can be reviewed by the patient’s obstetrician.,Female,18 and up,Recruiting,207315,"","BellyBit, Inc",1
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215375,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215379,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215383,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215377,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215385,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215381,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,216905,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,215389,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,216907,"",SillaJen Inc.,3
Abdominal Cancer,Oncology Gastroenterology Family Medicine,A Phase 3 Study (PHOCUS) to determine whether the oncolytic virus immunotherapy called Pexa-Vec (JX-594) can slow the progression of advanced liver cancer (hepatocellular carcinoma or HCC).,"This research study is for people with advanced liver cancer who have never received systemic medicine (affecting the entire body) for advanced liver cancer. This is a randomized, open-label Phase 3 study to determine whether treatment with vaccinia virus based immunotherapy (Pexa-Vec) followed by sorafenib can slow the progression of advanced liver cancer and improve quality of life compared to treatment with sorafenib alone.",Both Male and Female,18 and up,Recruiting,216908,"",SillaJen Inc.,3
